,cari_category,municipality,cost_food_total,household_size,government_assistance
224,Moderate Insecurity,sopo,480000.0,47,0.46153846153846156
225,Moderate Insecurity,sucre,408500.0,49,0.8571428571428571
226,Moderate Insecurity,suesca,414500.0,52,0.5833333333333334
227,Moderate Insecurity,sutatenza,273300.0,9,0.5
228,Moderate Insecurity,tame,294000.0,79,0.7368421052631579
229,Moderate Insecurity,timbiqui,710000.0,122,1.0
230,Moderate Insecurity,tunja,222000.0,22,0.42857142857142855
231,Moderate Insecurity,turbaco,323000.0,112,0.7916666666666666
232,Moderate Insecurity,valledupar,455750.0,292,0.5573770491803278
233,Moderate Insecurity,villamaria,168295.0,13,0.75
234,Moderate Insecurity,villavicencio,419050.0,148,0.8235294117647058
235,Moderate Insecurity,yopal,352700.0,117,0.6538461538461539
236,Secure,8558,670000.0,3,1.0
237,Secure,abrego,817500.0,8,1.0
238,Secure,acacias,628000.0,20,0.5
239,Secure,aguazul,890000.0,13,0.4
240,Secure,aldana,899000.0,6,1.0
241,Secure,alvarado,780400.0,17,1.0
242,Secure,aranzazu,483000.0,32,0.6666666666666666
243,Secure,arauca,934000.0,21,0.6
244,Secure,ariguani,676000.0,4,0.0
245,Secure,armenia,630000.0,69,0.2
246,Secure,barrancabermeja,1020000.0,19,0.5
247,Secure,barranquilla,873300.0,263,0.26506024096385544
248,Secure,bogota__d_c_,965000.0,397,0.2892561983471074
249,Secure,bolivar,468000.0,12,0.6666666666666666
250,Secure,bosconia,392000.0,2,0.0
251,Secure,bucaramanga,824000.0,178,0.24193548387096775
252,Secure,caicedo,521300.0,5,0.5
253,Secure,calarca,502000.0,25,0.5555555555555556
254,Secure,caldas,1048500.0,27,0.8571428571428571
255,Secure,cali,835850.0,191,0.1774193548387097
256,Secure,cartagena_de_indias,932000.0,86,0.36363636363636365
257,Secure,cartagena_del_chaira,381400.0,14,0.6
258,Secure,cartago,930000.0,43,0.0625
259,Secure,chinu,434600.0,6,0.5
260,Secure,combita,480000.0,21,0.5
261,Secure,corozal,630725.0,7,1.0
262,Secure,cumaribo,808000.0,10,0.3333333333333333
263,Secure,dibulla,299000.0,4,1.0
264,Secure,distraccion,230000.0,1,1.0
265,Secure,dosquebradas,475000.0,21,0.2222222222222222
266,Secure,el_carmen_de_chucuri,521000.0,22,0.7142857142857143
267,Secure,el_guamo,614500.0,7,1.0
268,Secure,florencia,911200.0,49,0.5625
269,Secure,fonseca,327500.0,5,1.0
270,Secure,fresno,692600.0,31,0.7692307692307693
271,Secure,fundacion,1207000.0,11,1.0
272,Secure,funza,1009000.0,57,0.4375
273,Secure,gacheta,825000.0,24,0.1111111111111111
274,Secure,garzon,327000.0,18,1.0
275,Secure,ginebra,570000.0,22,0.42857142857142855
276,Secure,girardota,837000.0,65,0.2777777777777778
277,Secure,guacari,725000.0,35,0.2727272727272727
278,Secure,ibague,725000.0,144,0.3673469387755102
279,Secure,la_paz,991000.0,9,1.0
280,Secure,leticia,843500.0,32,0.5
281,Secure,los_cordobas,375000.0,1,1.0
282,Secure,malambo,807500.0,7,0.5
283,Secure,manizales,903000.0,111,0.34285714285714286
284,Secure,mariquita,557500.0,26,0.4166666666666667
285,Secure,marsella,624200.0,9,0.5
286,Secure,medellin,587000.0,156,0.11475409836065574
287,Secure,medio_atrato,570000.0,1,0.0
288,Secure,mitu,2150000.0,5,0.0
289,Secure,mocoa,1010500.0,54,0.375
290,Secure,mongua,610000.0,15,0.2
291,Secure,montenegro,705000.0,14,0.14285714285714285
292,Secure,monteria,900000.0,28,0.3333333333333333
293,Secure,morelia,290000.0,1,0.0
294,Secure,neiva,938800.0,121,0.35
295,Secure,ocana,527500.0,18,0.8333333333333334
296,Secure,pailitas,996000.0,9,0.5
297,Secure,pasto,860250.0,70,0.3181818181818182
298,Secure,paz_de_ariporo,617000.0,12,0.4
299,Secure,pedraza,1230000.0,4,1.0
300,Secure,pereira,1030500.0,53,0.18181818181818182
301,Secure,piedecuesta,676000.0,25,0.42857142857142855
302,Secure,pitalito,824000.0,5,0.5
303,Secure,popayan,695200.0,99,0.47058823529411764
304,Secure,puerto_berrio,382000.0,11,0.8333333333333334
305,Secure,puerto_gaitan,727000.0,29,0.5
306,Secure,puerto_guzman,779500.0,12,1.0
307,Secure,puerto_leguizamo,810000.0,7,0.0
308,Secure,puerto_libertador,630000.0,10,0.6666666666666666
309,Secure,puerto_narino,1374500.0,14,0.5
310,Secure,quibdo,651300.0,35,0.7142857142857143
311,Secure,riohacha,984000.0,61,0.375
312,Secure,riosucio,509800.0,31,0.5
313,Secure,rosas,597000.0,12,0.75
314,Secure,sabanagrande,751500.0,12,0.0
315,Secure,saladoblanco,856500.0,25,0.75
316,Secure,san_andres,1270000.0,255,0.3013698630136986
317,Secure,san_andres_de_tumaco,1160000.0,4,1.0
318,Secure,san_jose_de_cucuta,992000.0,84,0.6521739130434783
319,Secure,san_lorenzo,298000.0,3,1.0
320,Secure,san_martin,1580000.0,5,1.0
321,Secure,san_miguel,805000.0,11,1.0
322,Secure,san_vicente_del_caguan,650000.0,55,0.8
323,Secure,sandona,680000.0,8,0.6666666666666666
324,Secure,santa_marta,671950.0,47,0.4375
325,Secure,santa_rosa_de_cabal,661000.0,19,0.7142857142857143
326,Secure,santafe_de_antioquia,450000.0,17,0.0
327,Secure,saravena,273000.0,10,0.0
328,Secure,sardinata,887500.0,9,0.5
329,Secure,sesquile,699500.0,12,0.75
330,Secure,sincelejo,750000.0,26,0.5555555555555556
331,Secure,soacha,974800.0,83,0.36363636363636365
332,Secure,sogamoso,775000.0,31,0.5
333,Secure,sonson,584000.0,43,0.4
334,Secure,sopo,815000.0,36,0.6363636363636364
335,Secure,sucre,1303500.0,2,1.0
336,Secure,suesca,662000.0,36,0.5
337,Secure,sutatenza,560000.0,21,0.42857142857142855
338,Secure,tame,899000.0,16,0.8
339,Secure,tunja,875000.0,118,0.358974358974359
340,Secure,turbaco,995500.0,8,0.5
341,Secure,valledupar,993500.0,41,0.16666666666666666
342,Secure,villamaria,750000.0,37,0.3076923076923077
343,Secure,villavicencio,909000.0,67,0.2857142857142857
344,Secure,yopal,751000.0,53,0.3157894736842105
345,Severe Insecurity,8558,161500.0,8,0.5
346,Severe Insecurity,abrego,145100.0,6,0.5
347,Severe Insecurity,aguazul,109000.0,10,1.0
348,Severe Insecurity,aldana,110500.0,5,0.5
349,Severe Insecurity,arauca,207000.0,118,0.8260869565217391
350,Severe Insecurity,ariguani,381400.0,18,0.4
351,Severe Insecurity,armenia,161500.0,3,1.0
352,Severe Insecurity,barranquilla,318150.0,42,0.5714285714285714
353,Severe Insecurity,bogota__d_c_,258000.0,29,0.5
354,Severe Insecurity,bolivar,92000.0,6,0.6666666666666666
355,Severe Insecurity,bosconia,221000.0,23,1.0
356,Severe Insecurity,bucaramanga,103500.0,4,1.0
357,Severe Insecurity,calarca,27450.0,5,0.5
358,Severe Insecurity,cali,188000.0,56,0.6923076923076923
359,Severe Insecurity,candelaria,235000.0,20,1.0
360,Severe Insecurity,cartagena_de_indias,221600.0,102,0.625
361,Severe Insecurity,cartagena_del_chaira,478000.0,3,1.0
362,Severe Insecurity,cartago,322000.0,5,1.0
363,Severe Insecurity,chinu,212000.0,59,0.9166666666666666
364,Severe Insecurity,coloso,196500.0,45,1.0
365,Severe Insecurity,cordoba,108500.0,7,1.0
366,Severe Insecurity,corozal,222000.0,18,0.75
367,Severe Insecurity,cumaribo,208000.0,10,0.0
368,Severe Insecurity,dibulla,161000.0,27,0.6
369,Severe Insecurity,distraccion,220000.0,28,1.0
370,Severe Insecurity,dosquebradas,414250.0,14,1.0
371,Severe Insecurity,el_carmen_de_bolivar,253950.0,40,0.875
372,Severe Insecurity,el_guamo,231000.0,2,1.0
373,Severe Insecurity,florencia,155000.0,34,0.7142857142857143
374,Severe Insecurity,fonseca,132000.0,32,0.8333333333333334
375,Severe Insecurity,fundacion,251600.0,36,0.5714285714285714
376,Severe Insecurity,funza,292750.0,9,0.0
377,Severe Insecurity,gacheta,179000.0,4,0.5
378,Severe Insecurity,garzon,42008.0,5,0.0
379,Severe Insecurity,girardota,119900.0,11,0.0
380,Severe Insecurity,guacari,209800.0,9,0.5
381,Severe Insecurity,ibague,358800.0,5,1.0
382,Severe Insecurity,istmina,210000.0,12,0.6666666666666666
383,Severe Insecurity,la_paz,254000.0,19,1.0
384,Severe Insecurity,leticia,218500.0,14,0.5
385,Severe Insecurity,los_cordobas,335000.0,16,1.0
386,Severe Insecurity,malambo,209500.0,10,1.0
387,Severe Insecurity,manizales,150000.0,32,1.0
388,Severe Insecurity,marsella,171600.0,3,0.0
389,Severe Insecurity,medellin,119000.0,6,0.5
390,Severe Insecurity,medio_atrato,100000.0,20,1.0
391,Severe Insecurity,mitu,255000.0,4,1.0
392,Severe Insecurity,mocoa,205000.0,23,0.8571428571428571
393,Severe Insecurity,montenegro,350000.0,8,1.0
394,Severe Insecurity,monteria,220900.0,65,0.8571428571428571
395,Severe Insecurity,morelia,245000.0,13,1.0
396,Severe Insecurity,neiva,100450.0,3,1.0
397,Severe Insecurity,nunchia,299000.0,4,1.0
398,Severe Insecurity,ocana,174750.0,8,0.5
399,Severe Insecurity,pailitas,285300.0,9,1.0
400,Severe Insecurity,pasto,272400.0,47,0.5555555555555556
401,Severe Insecurity,paz_de_ariporo,168500.0,9,1.0
402,Severe Insecurity,pedraza,595500.0,8,1.0
403,Severe Insecurity,pereira,130700.0,15,0.0
404,Severe Insecurity,pitalito,208000.0,5,1.0
405,Severe Insecurity,popayan,43500.0,3,0.0
406,Severe Insecurity,puerto_berrio,196000.0,6,1.0
407,Severe Insecurity,puerto_guzman,145000.0,32,0.75
408,Severe Insecurity,puerto_leguizamo,150800.0,5,1.0
409,Severe Insecurity,puerto_libertador,198000.0,41,0.9
410,Severe Insecurity,puerto_narino,334000.0,5,1.0
411,Severe Insecurity,quibdo,205000.0,32,0.7142857142857143
412,Severe Insecurity,riohacha,418600.0,23,1.0
413,Severe Insecurity,riosucio,214500.0,8,0.6666666666666666
414,Severe Insecurity,sabanagrande,208800.0,5,1.0
415,Severe Insecurity,saladoblanco,418000.0,13,0.5
416,Severe Insecurity,san_andres_de_tumaco,273900.0,31,0.75
417,Severe Insecurity,san_jose_de_cucuta,246000.0,96,0.9166666666666666
418,Severe Insecurity,san_lorenzo,313300.0,24,0.8333333333333334
419,Severe Insecurity,san_miguel,135250.0,5,0.5
420,Severe Insecurity,sandona,271500.0,21,0.4
421,Severe Insecurity,santa_marta,256600.0,78,0.7333333333333333
422,Severe Insecurity,santa_rosa_de_cabal,183000.0,3,1.0
423,Severe Insecurity,santafe_de_antioquia,40000.0,6,1.0
424,Severe Insecurity,santiago,200900.0,20,0.75
425,Severe Insecurity,saravena,210000.0,11,1.0
426,Severe Insecurity,sardinata,219000.0,19,1.0
427,Severe Insecurity,sesquile,507000.0,4,0.0
428,Severe Insecurity,sincelejo,368000.0,62,0.6666666666666666
429,Severe Insecurity,soacha,184000.0,38,0.2857142857142857
430,Severe Insecurity,sogamoso,175100.0,13,0.3333333333333333
431,Severe Insecurity,sucre,213250.0,9,1.0
432,Severe Insecurity,tame,223000.0,7,1.0
433,Severe Insecurity,timbiqui,298000.0,19,1.0
434,Severe Insecurity,tunja,118850.0,12,0.5
435,Severe Insecurity,turbaco,310000.0,25,1.0
436,Severe Insecurity,valledupar,335000.0,88,0.8235294117647058
437,Severe Insecurity,villavicencio,254500.0,20,0.25
438,Severe Insecurity,yopal,280500.0,7,0.5
